arquivo;algoritmo;estrutura;execucao;tempo_ms
sample100-5940.gr;DIJKSTRA;LISTA;6;2,5692
sample100-5940.gr;DIJKSTRA;LISTA;7;1,8161
sample100-5940.gr;DIJKSTRA;LISTA;8;2,3888
sample100-5940.gr;DIJKSTRA;LISTA;9;2,9962
sample100-5940.gr;DIJKSTRA;LISTA;10;3,0409
sample100-5940.gr;DIJKSTRA;LISTA;11;2,8109
sample100-5940.gr;DIJKSTRA;MATRIZ;1;3,2010
sample100-5940.gr;DIJKSTRA;MATRIZ;2;2,7837
sample100-5940.gr;DIJKSTRA;MATRIZ;3;2,9304
sample100-5940.gr;DIJKSTRA;MATRIZ;4;2,9070
sample100-5940.gr;DIJKSTRA;MATRIZ;5;2,9141
sample100-5940.gr;DIJKSTRA;MATRIZ;6;2,8998
sample100-5940.gr;DIJKSTRA;MATRIZ;7;2,8566
sample100-5940.gr;DIJKSTRA;MATRIZ;8;1,5002
sample100-5940.gr;DIJKSTRA;MATRIZ;9;2,1566
sample100-5940.gr;DIJKSTRA;MATRIZ;10;2,9016
sample100-5940.gr;DIJKSTRA;MATRIZ;11;2,8670
sample100-5940.gr;BELLMANFORD;LISTA;1;4,1262
sample100-5940.gr;BELLMANFORD;LISTA;2;4,0126
sample100-5940.gr;BELLMANFORD;LISTA;3;3,9086
sample100-5940.gr;BELLMANFORD;LISTA;4;3,3580
sample100-5940.gr;BELLMANFORD;LISTA;5;3,9919
sample100-5940.gr;BELLMANFORD;LISTA;6;3,4332
sample100-5940.gr;BELLMANFORD;LISTA;7;3,9830
sample100-5940.gr;BELLMANFORD;LISTA;8;3,9109
sample100-5940.gr;BELLMANFORD;LISTA;9;3,4351
sample100-5940.gr;BELLMANFORD;LISTA;10;2,1368
sample100-5940.gr;BELLMANFORD;LISTA;11;2,0031
sample100-5940.gr;BELLMANFORD;MATRIZ;1;9,6236
sample100-5940.gr;BELLMANFORD;MATRIZ;2;8,0993
sample100-5940.gr;BELLMANFORD;MATRIZ;3;7,8614
sample100-5940.gr;BELLMANFORD;MATRIZ;4;9,7887
sample100-5940.gr;BELLMANFORD;MATRIZ;5;8,6240
sample100-5940.gr;BELLMANFORD;MATRIZ;6;8,4946
sample100-5940.gr;BELLMANFORD;MATRIZ;7;9,9840
sample100-5940.gr;BELLMANFORD;MATRIZ;8;7,8823
sample100-5940.gr;BELLMANFORD;MATRIZ;9;8,3428
sample100-5940.gr;BELLMANFORD;MATRIZ;10;9,6759
sample100-5940.gr;BELLMANFORD;MATRIZ;11;8,5617
sample100-5940.gr;FLOYDWARSHALL;LISTA;1;145,5582
sample100-5940.gr;FLOYDWARSHALL;LISTA;2;186,0097
sample100-5940.gr;FLOYDWARSHALL;LISTA;3;194,9747
sample100-5940.gr;FLOYDWARSHALL;LISTA;4;199,5588
sample100-5940.gr;FLOYDWARSHALL;LISTA;5;169,4210
sample100-5940.gr;FLOYDWARSHALL;LISTA;6;175,4758
sample100-5940.gr;FLOYDWARSHALL;LISTA;7;183,0660
sample100-5940.gr;FLOYDWARSHALL;LISTA;8;177,4729
sample100-5940.gr;FLOYDWARSHALL;LISTA;9;184,0009
sample100-5940.gr;FLOYDWARSHALL;LISTA;10;177,5823
sample100-5940.gr;FLOYDWARSHALL;LISTA;11;182,0920
sample100-5940.gr;FLOYDWARSHALL;MATRIZ;1;176,7059
sample100-5940.gr;FLOYDWARSHALL;MATRIZ;2;183,1599
sample100-5940.gr;FLOYDWARSHALL;MATRIZ;3;179,8716
sample100-5940.gr;FLOYDWARSHALL;MATRIZ;4;199,9859
sample100-5940.gr;FLOYDWARSHALL;MATRIZ;5;170,6376
sample100-5940.gr;FLOYDWARSHALL;MATRIZ;6;190,2805
